description,category
All cars are parked on foot path,Traffic/Parking
Improper dust dumped ,Waste/Garbage
Water filling station without pipe,Water
Dustbin overflow,Waste/Garbage
Pit not closed after completion EB nagar,Streetlights
Dust dumped in roadside,Waste/Garbage
Foot path occupied shops,Waste/Garbage
Drainage clean,Waste/Garbage
Overload vehicle ,Water
Don't do this,Traffic/Parking
There is a lot of drianage water being ourflowed duribg rainy season here .We can stop this by covering the top of the drianage pipe by a proper lid .This will prevent the waste water from overflowng.,Water
Post box tied with cable wire,Streetlights
Tree leaf hanging on cable,Streetlights
Dust bin also damaged,Waste/Garbage
"Repair  roads .
Water  is also blocked. 
Difficult  to travel. ",Water
Street indication board fully erased,Water
Onlu pole no light,Streetlights
Big stone standing ondangerous position,Potholes
There is a lot of garbage uncleaned for days,Waste/Garbage
Posiblities dengue,Potholes
Drainage not closed,Waste/Garbage
There are garbage near our locality.  Pls clear them there are many people walking ,Waste/Garbage
Road work without sign board ,Streetlights
In our locality there is wrong parking so that people cant walk and there is no sufficient space to walk ,Traffic/Parking
"Drop gate dangerous position
",Streetlights
Near our house there is streetlights broken and after sunset the street is dark so know are walking in the streets due to this robbery is also happening,Streetlights
Rubbies mounted in roadside,Waste/Garbage
EB box slanting position,Streetlights
Drainage not closed,Waste/Garbage
Door to door garbage colection failure,Waste/Garbage
Eb work without safty measures,Streetlights
Only pole no camera,Streetlights
Bore bump not maintained,Water
Garbage oberflow ,Waste/Garbage
Painting in road and spread pollution ,Air
Serial light tied in tree,Streetlights
Car parked on platform,Traffic/Parking
Perambur busstopfully covered with posters,Water
Water logging,Water
Mud road water two wheeler rider trouble,Water
Heavy dention on road,Water
Iron danger for pedestrian,Potholes
There has been garbage dumped over an empty area  from where many pedestrians passes by giving a foul smell into the air ,Waste/Garbage
All time traffic jam,Traffic/Parking
Dustbin also damaged,Waste/Garbage
Plastic dumped ,Air
Pit closed but cable projected from pit,Streetlights
Dustbin overflow,Waste/Garbage
"This spot has been used for disposing garbage and open defecation for atleast a few years, which has become a nuisance as it is located on the side of a very busy road.",Waste/Garbage
Door to door garbage collection,Waste/Garbage
EB post slanting position like piza tower,Streetlights
Tree bend facing road dangerous position,Waste/Garbage
Water leaked from supply vehicle,Water
Dust dumped roadside,Waste/Garbage
EB cable pit not closed after copletion,Streetlights
EB box open,Streetlights
Tree will down,Streetlights
Transformer in road,Streetlights
Due to rain the trees leave are dried and falling and mixes with flooding rain water and the sand kept for construction purpose this make the area stinky  ,Waste/Garbage
It may lead to accidents..,Traffic/Parking
Due to the dumping the garbages. When the rain comes like a small flood. All the plastic bags and all the garbages are coming to my home. My father only going and cleaning the garbages in the manhole.,Water
Wrong parking may lead to accidents..,Traffic/Parking
Due to rain the manhole is completely full and so the drain is slightly leaking and not been maintained properly,Potholes
"The garbage dump near my house is very danger because of this smell and breed mosquito is there please clean that
",Waste/Garbage
"This pothole has been there for many months now. When it rains heavily it gets filled and becomes ba problem for vehicles passing by.
",Potholes
This is a regular practice..  of dumping waste in open spaces outside houses,Waste/Garbage
"Vines dangling around the power cables
",Streetlights
The vegetable vendor is using plastic bags,Plastic
There are many stones and they are skitting the vehicles,Potholes
The road near our house is waterlogged when it's rains heavily. Become difficult to move on the road,Water
There are watermelon piece some people fall down ,Waste/Garbage
"The electric wires are coiled with creepers,and it's dangerous for living beings",Streetlights
This is garbage dumped in the land and actually it is a public area in which garbage is dumped.,Waste/Garbage
"There is no road in this place.Elderly people are suffering from this.Even some waste is also thrown here.
",Waste/Garbage
This road is also damaged and people also throw their waste in the side of the road.,Waste/Garbage
All the garbage is dumped her and no one picks it up,Waste/Garbage
They have dug up a big pithole and left it without closing it. Causing inconvenience while driving,Potholes
There is a garbage dumping next to a temple. It also smells,Waste/Garbage
Water not allowing to walk,Water
It’s in the middle of the street,Potholes
"I am Saiganesh reporting from the address given below
In my there are many open sewer lines in which mosquitoes breed.I request to do necessary action.",Sewage
Electric box is fallen,Streetlights
On the side of road,Water
The garbage in our house is not getting collected,Waste/Garbage
Somebody always smoking in our apartment,Potholes
"There is a garbage dump here. The atmosphere really stinks around and animals eat plastic thrown in the garbage dump.
",Waste/Garbage
Long pipe in tricycle,Potholes
Tree not removed,Air
This is piles of sand dumped in the land.,Waste/Garbage
This is also piles of garbage dumped in the land,Waste/Garbage
There is no road laundry in this area and people also litter waste in this area.,Waste/Garbage
the water logging on roads happens whenever there is a rain . the vehicles that go on that road may sometimes splash water on other vehicles.,Water
The waste garbage is thrown on the residential area I would request concern authorities to take necessary action,Waste/Garbage
"A slab on the storm water drain on Pari Salai, Mugappair is not covered and poses danger ",Sewage
"Ori road or Worry road? The condition of Ori road at Mugappair is bad, as itis filled with problems.",Water
"Road is not properly maintained, because of which there is waterlogging in many places.",Water
"The street name board and iron rod kept over storm water drain on Olympic Colony main road, Mugappair, need to be removed.",Streetlights
"Looks so bad . Please clean it up
",Waste/Garbage
We r suffering from water scarcity... It is due wastage of water... we are sorry for the people who regularly  waste water.,Water
"Nav Tamilnadu there is lot of air pollution. We should only prevent it
",Air
"Jayanagar 7th block. Iyengars bakery
",Plastic
Open drainage will spread waterborne diseases.,Sewage
The garbage dumps are not being cleared.,Waste/Garbage
Motorists find it difficult to move on Bacon road as rain water stagnates often.,Water
There is no uturn in Shanti Colony.,Traffic/Parking
"1. Garbage thrown instead the park and is not cleaned regularly
2. Insufficient parking spaces
3. No security cameras
4. Aggresive street dogs
5. No presence of security gaurd",Waste/Garbage
Please help me,Water
Parking on platform,Traffic/Parking
"Garbages should be cleaned
",Waste/Garbage
Roadside danger for public,Waste/Garbage
Banner frame danger,Waste/Garbage
Garbages should be dumped in dustbin,Waste/Garbage
Garbage collection after heavy rain ,Waste/Garbage
Water logging,Water
Wayer log,Water
Cable just upper,Streetlights
Wrong right driving,Air
Please avoid this,Traffic/Parking
We should not waste water and we should save it check weather in your home also there is water leakage,Water
Coperation barry guard with bushes,Waste/Garbage
"Please use this
",Plastic
"It is very dark so kindly repair it
",Streetlights
Vehicle parked on platform,Traffic/Parking
Water logging,Water
Banner fram danger,Air
"Don't waste water, use aerator and save water",Water
Garbage collection not fair,Waste/Garbage
PL help me,Water
Please help me,Traffic/Parking
Garbage is been dumped reportedly near the lamp post even after repeated warnings.,Waste/Garbage
Don't dump garbage,Waste/Garbage
Wrong parking,Traffic/Parking
In our street after sunset there is streetlights due to this now people can walk in cracked or damaged road plss take a step,Streetlights
In our streets there is wrong parking the tuition centre near our house is full of vehicles parked they are not parking in a manner and it is no parking,Traffic/Parking
Very bad,Waste/Garbage
People are dumping garbage on the road sideand it is a great disturbance to the houses nearby. Please clean them. ,Waste/Garbage
Dump yard,Waste/Garbage
"The garbage has not been cleared for a long time
",Waste/Garbage
"Here our nearby flat people continuously putting plastic bags, wrappers, old clothes, etc., 
It make the place fit for mosquito breeding and can cause diseases.It is also a parking area for people ",Waste/Garbage
Garbage not in dustbin.a very big black spot.,Waste/Garbage
"This drainage line is open and is smelling badly
",Sewage
This is a lamp which is turned.It is likely to fall.,Streetlights
they are parking in front of the house ,Traffic/Parking
"they are parking in front of the house 


",Traffic/Parking
There is a pothole people are walking and leg are gallon the hole,Potholes
There is a lot of garbages in our locality they are making stinks and the corporation people are not cleaning it regularly pls ma a step,Waste/Garbage
In our locality there is a lot of garbage and it stinks the corporation are not Clearing them regularly pls take a step,Waste/Garbage
"In our locality there is a lot of garbage and it stinks the corporation people are not cleaning them regularly pls take a step
",Waste/Garbage
"In our locality there is a lot of garbage and it stinks the corporation people are not cleaning them regularly pls take a step
",Waste/Garbage
Nowadays people are not closing their tap correctly due to this in 1hour at least 1litre of water is wasted ,Water
You should come and clean,Waste/Garbage
This is like a path hole in the land.It is full of sand and rocks in it .,Potholes
This is like a manhole in the road and it is full of sand and rocks.,Potholes
"Garbage bumping in vacant land
",Waste/Garbage
This is like a potholes in the road and it is full of sand and rocks.,Potholes
Do not dump garbage in the land,Waste/Garbage
This is hanging cable in the post.These wire are hanging which is very dangerous.,Streetlights
This is part of rock actually used in roads.,Waste/Garbage
Garbage issue ,Waste/Garbage
It is there from many weeks and  many dogs puppies cows eating them most of the things of plastic,Waste/Garbage
Water licking from hand pumps ,Water
People are dumping garbage in the road side which is causing problems to the people nearby. Please clean them. ,Waste/Garbage
"They are not putting in dustbin
",Waste/Garbage
"They didn't clean
",Sewage
Flooding..,Water
A big hole in the middle of short road near my house,Potholes
3 things that need to be corrected in the public park,Waste/Garbage
Clear it up..,Sewage
Yesterday it was raining so all the garbage got dumped in our street . Today morning no one came and cleaned the garbage.,Waste/Garbage
"Prevent water leakage to have a healthy and wealthy generation..everything is based on water..water is our life..no organism can exist without water..Stop the wastage of water,have a bright future!!!!",Water
It saved my plants when Iwas out for about 10 days,Waste/Garbage
Mugappair West bus stand main gate on Bharathi Salai is closed and people make use of it as parking lot.,Traffic/Parking
"A view of 'park land' at Eri Scheme, Mugappair that has been converted into garbage segregation spot.",Waste/Garbage
This garbage has been lying here for a long since. The major problem is that the whole street has garbage lying here n there,Waste/Garbage
Residents want iron pieces to be removed from median road at 120 feet road.,Streetlights
Electrical cables that run between transformers and junction boxes in and around Mugappair are posing danger to pedestrians and motorists.,Streetlights
Pedestrians face problems at Collector nagar signal.,Traffic/Parking
Being in apartments  it is a quiet uncomfortable because of garbage. While we keep those on the ground. Cats come and  grab and scatter. Thus it makes a big problem. ,Waste/Garbage
"The light is not working 
",Streetlights
"They are not cleaning 
",Waste/Garbage
"They are  not parking properly
",Traffic/Parking
"Water logging
",Water
"They are not putting the road 
",Waste/Garbage
This area is of sand and the place is dusty.,Waste/Garbage
This is wire hanging in the post.,Streetlights
"Clean this
",Waste/Garbage
"See this how it happen it overflows. In this house there is a small baby 2 years . Around that house 

full of  mosquitoes and the baby also suffered from asthma ",Waste/Garbage
We should not for the vehicles on the road it will be disturbance for many vehicles that pass through the road and the members who walk on the road we should prevent that vehicles for parking ,Traffic/Parking
"The garbage in the in area makes that area stink
",Waste/Garbage
people are throwing garbages on the foot path and dogs eat those and get affected .the garbage gets accumulated and will spread diseases.,Waste/Garbage
The garbage has blocked the whole foot path,Waste/Garbage
Must prevent air pollution because it is dangerous for many living creatures and it make holes on ozone layer so we must prevent it,Air
About 3 is there,Waste/Garbage
"People in the area are putting the garbage in the disposal, but the people incharge of it are not clearing it",Waste/Garbage
"In our locality there is a lot of garbage and it stinks the corporation people are not cleaning them regularly pls take a step
",Waste/Garbage
"These lights are switched off. We are  facing Al lot of problems. 
",Streetlights
Tiles and ceramics dumped,Waste/Garbage
These lights are switched off. We are facing a lot of problems by this. ,Streetlights
"This garbage in the road
",Waste/Garbage
Trees being cut for wooden pencils,Air
People are just throwing the garbage. We are not able to breathe as the smell is so disgusting. ,Waste/Garbage
"The complaint is about the garbage vehicles buzzing during the busy hours in the morning ,when children are on their way to school and office collegues are leaving to work.",Waste/Garbage
It stinks so much .it needs to be cleaned up regularly ,Waste/Garbage
It is under a transator. It may burst. Animals may get hurt.,Waste/Garbage
This is in a parking spot.,Waste/Garbage
People might get shock.,Streetlights
Not able to park cars.,Water
"Near our house, the garbage was not cleared by the government for the past 3 days . People who wanted to throw garbage in the dustbin, just throw it down. It stinks so bad. ",Waste/Garbage
We should not dump the roadside the spin and the government stops should be cleaning it properly will affect the land resources and its effects many vehicles to cross to that gives a very bad smell,Waste/Garbage
As people in the area are dumping waste in a clean area there is accumulation of mosquitos. And there is a bad smell around the area. ,Waste/Garbage
"Blqvk smoke was emmitted from the vehicle
.",Air
From 2 months the garbage is dumped over here and is not cleaned,Waste/Garbage
".




",Waste/Garbage
Save water nature for the future our behind generation leave everything for we we are so leave many things for next generation,Plastic
Don't throw plastics on the road and don't use plastic...use cloth bag instead... use degradable things and don't pollute India please!!!,Plastic
They are  throwing garbage now in the  dustbin but they're throwing home appliances and cardboard and doors. ,Waste/Garbage
Actually  there is a dustbin in this area but now it has been removed and people are started to put garbage on the road make it more dirty so we want dustbin ,Waste/Garbage
open drainage and garbage near trees,Potholes
"Due to more vehical movement the is contaminated and some riders , pedestrians are wearing mask due to polluting ",Air
There are wires thrown near the RxDx Hospital beside the Yulu bikes...,Streetlights
People are supposed to walk on the main road which is dangerous ,Traffic/Parking
"People are putting the garbage in the bin, yet the people incharge are not clearing it",Waste/Garbage
"There is a huge pothole in the middle of the road
This pothole has been disturbing moving vehicles on the road ",Potholes
Children cycling might get shock during night. Other people might also get shock.,Streetlights
This is leaves in the road and and are dumped here.,Waste/Garbage
This is full of sand and and no road.It is very damaged.,Waste/Garbage
"There is garbage dumped in the road.
",Waste/Garbage
There is no road and it is full of sand.,Waste/Garbage
Garbage huh,Waste/Garbage
Don't put waste on land animals like cow goat will eat it... it cause a danger for use it,Waste/Garbage
Using plastics harms essentialy living organisms. Cows instead eats it's meal at a garbage lying area by which it eats the plastic and cannot able to breathe thus respiratory system get infected. ,Plastic
Garbage is creating nuisance,Waste/Garbage
We should not burn plastic it releases a bad gas which is very dangerous for many living creatures and it effects ozone layer,Air
Don't do this any more ,Traffic/Parking
"Because of wires dangling above the road people are afraid of walking under it for many years it had been hanging above the road which is dangerous in rainy season because it can fall on someone .
",Streetlights
Street light not working ,Streetlights
Need proper system of stabilized wire,Streetlights
Leakage of water ,Water
There is no dustbin for our street . So everyone are dumping garbage in vacant lot / land  and they are burning them . This leads to air  and land pollution . We compulsory need at least one dustbin.,Waste/Garbage
"Here all the construction sand, gravel, stones are been kept. If it rains the sand is mixed with water and make the road slippery and makes unable to ride vehicles",Waste/Garbage
"Clear garbage 
",Waste/Garbage
Community well in vasantham colony neglected,Potholes
Clear garbage ,Waste/Garbage
Damaged EB junction boxes dumped on 2nd main road,Streetlights
Many mosquito are breeding.New water born air born diseases are spreading,Water
Near VILLIVAKKAM SUBWAY/RAILWAY STATION there are many path holes during rain the water gets filled there as river. And many vehicle gets stuck and many gets accident. Many mosquitoes breeds there. ,Potholes
Water leakage from the tank,Water
Due to rain the sand mixes with the water and flowing,Waste/Garbage
Due to rain the water is stagnant and make bike ride difficult to ride their its also a way for mosquito breeding,Water
"The garbage bin has very big hole in it.
Proper new garbage bin has to be kept extra bins has to be kept.....and should be cleaned up regularly specially in rainy days as it is stinking due to rain...",Waste/Garbage
The garbage bin has a very big hole in it.so this the request to change the garbage bins.....and it should be kept closed in rainy days as it is stinking,Waste/Garbage
This is outside of road,Waste/Garbage
Fixing aerator,Water
Clean it ,Waste/Garbage
"Broken road
",Water
Hanging of wires on the roof of buildings or near roads may cause many problems. During rain it is hard to go near that place as it may cause shock due to which people may die. So please repairit ASAP,Streetlights
3.5l water.,Water
Started Segregating Waste.,Waste/Garbage
Land pollution is now cleared in my area,Waste/Garbage
Clearing garage on the road ,Waste/Garbage
"Waterlogging in our area due to heavy ra
in in our environment we suggest the Corp. Or govn. To solve it as soon as possible",Water
Please help me,Water
Please help me,Potholes
Gaping hole,Potholes
Please help me,Waste/Garbage
This stinks,Water
No way to walk ,Traffic/Parking
Taking off the road and not allowing as to walk,Traffic/Parking
Water getting wasted from Tank,Water
"Thermocol, plastics,and wood are dumped
",Waste/Garbage
Street light not working!!,Streetlights
Street light doesn't working properly,Streetlights
Water-logging problem...  In the road..,Water
Placing the waste's at vacant land,Waste/Garbage
மின்கம்பம் பழுது ஏற்பட்டுள்ளது!!!,Streetlights
People placing waste's from the vacant land,Waste/Garbage
I was able to save 200 ml of water per minute .,Water
Garbage Dumped in vacant land.,Waste/Garbage
Pedestrians must use the main road which is dangerous ,Traffic/Parking
This garbage has been lying over here for a long time. It is a construction waste. Please do the needful....,Waste/Garbage
This particular area in the whole street contains garbage. Please do the needful as soon as possible but cleaning the spoy,Waste/Garbage
Waste dumped near hotel ,Waste/Garbage
Please help me,Waste/Garbage
People who work in the site may hurt themselves ,Waste/Garbage
"People are throwing garbage in a area not in bin .so kindly make sure that every area is clean.
",Waste/Garbage
"The amount of mosquito are been increasing day by by day .This problem should be reduced
",Sewage
After an heavy rain the water is still there which is near to footpath. So the people cannot walk properly. ,Potholes
Water leaking  for an hour still not fixed 10liters of waterways wasted per day,Water
These garbage dump are quite weak that it cant weight too many dump and it is old and it is broken. So the chennai corporation should change this garbage dump. ,Waste/Garbage
Garbage in our street not cleared frequently I would request  the concern authorities to take necessary action,Waste/Garbage
Garbage dumped in vacant land with stagnent water creating mosquitos resulting in many diseases.,Waste/Garbage
Affecting the living things,Waste/Garbage
There are a lot of potholes ,Potholes
There is a tap leaking in our area for the past 2 weeks ,Water
"Street light was broken near the marina beach.it going to fall on someone before you repair it.the bulb was broken and hanging on the road and electric circuit is forming .please repair it.
",Streetlights
There is a big waste at the river .now it had become a drainage place. Please clear it or the mosquitoes and other living creatures would grown and harm the people.and drainage also coming out..,Waste/Garbage
"We usually know the Mumbai air quality is very poor .the people's are wearing mask . If it continue to happen all the people would die .people would get lung cancer.
 

",Air
"There is a garbage problem please fix it
",Waste/Garbage
People are throwing waste into the rivers .first it was a river which has been changed to drainage system.if it began to happen like this all the people surely suffer from diseases. Please clean it up,Waste/Garbage
Delhi is known as the dead air quality. Everyday pollution is increased. So we have to keep full stop today.if it continue to happen the people will die due to lung cancer.so please do something.,Air
In this area there is no garbage dump. So people are throwing In a vacant land which smells stinking for people walking there. ,Waste/Garbage
Street light not working. It's dark and not safe to walk on the road,Streetlights
Delhi is known for the dead air.if it continue to happen the people die due to lung cancer.without the fresh air people cannot live.people wearing mask.so please do.,Air
There is leaves and plastic dumped in the corner of the road.,Waste/Garbage
Many people or travelling spots of train and buses it is very dangerous because Vin with the move fast or goes to near post it may hit them and be don't do that,Streetlights
There is waste dumped in the land and it doesn’t look good.There is even lots of sand.,Waste/Garbage
There is garbage dumped in the the land.,Waste/Garbage
There is sand in this place.,Waste/Garbage
There is full of sand in the place,Waste/Garbage
"Due to improper,when raining the water gets logged and
 these water get wasted instead of they  being used for various purposes.",Water
There is some big rocks are there in the side of the road.,Waste/Garbage
This is full of bricks and the sand around it fly.,Waste/Garbage
Garbage Uncleared ,Waste/Garbage
"Because of this problem mosquito leads
",Water
Clearing garage ,Waste/Garbage
This is to say a small manhole in the side of the road.,Potholes
"Kindly clear this garbage dump
",Waste/Garbage
It is difficult for people walking and driving. It cause mosquito breeding.,Water
Garbage,Waste/Garbage
Please help me,Potholes
Don't waste even a single drop of water it will give a big problem for next generation there should be no water leakage no wastage of water please save water,Water
"A waste of garbage near roadside it Stinks when we wait in traffic ...
",Waste/Garbage
"Due to waterlogging and poor drainage , lot of drains are over flowing and are not visible, posing a risk to animals and humans alike",Water
To slove,Waste/Garbage
Dengue is rampant in our apartment. Over the three months atleast 12-13 cases is dengue have been reported. Mosquitos have become a menace now,Water
The people right below my house sweep loads of dust into the air. Dust dust everywhere! The snake plants in my house have caught loads of dust regardless of being cleaned every day due to this.,Air
People are gtting affected by this,Streetlights
It disturbs the passer- by and the people in the residents.,Waste/Garbage
"The trees are cut and dumped on the road.It has been 3 days since it is cut and it is not cleared.It creates traffic in our area
",Waste/Garbage
Near my house there are many potholes. My neighborhood has given a complain but it has not been solved. It hard for vehicles to go.,Potholes
Stones were left on the foot path after sewage pipe replacement even after repeated complaints.,Waste/Garbage
Cars ,Traffic/Parking
Maintenance of street lights,Streetlights
 various diseases are spread because of the Dustin that is not cleaned many street animals get affected.these pigs that eats the waste here could get affected by many disease and could spread this ...,Waste/Garbage
"Near Villivakkam Subway and railway station the roads are not leveled,and if it rains the water gets filled there as a river. Many mosquitoes breeds there and many accidents also happens ",Potholes
"dueto rain,water is  collected in pits and cause various disease.mosquito os being breeded.the water logged in this TNHBconstruction lets mosquito breeding.we people in the neighboring are suffering.",Water
If there is no street light there will be a more problem in that area in the boiler and call will make the damage and many peoples will fall on hold and it is dangerous for or animals like cow and goa,Streetlights
Please inform to the committee ,Potholes
Garbage is being dumped on closed bridge entrance by residences from other places . Even after repeated actions garbage not cleared.,Waste/Garbage
Cows are left on the roads creating a lot of chaos and traffic every day . Slight concern about the problem is requested to be shown.,Traffic/Parking
Help,Plastic
Large dumping ground behind these dustbins. People regularly dump garbage here.,Waste/Garbage
"Roads are damaged
",Water
Bellandur lake contains a lot of harmful chemicals due to which it keeps frothing. It also has foul smell. ,Water
Makes a big crowd and problems with the unwanted dumps. Traffic is made on this demand. By this an accident is occurring. ,Waste/Garbage
Please don't do this any more ,Potholes
Please follow the rules ,Traffic/Parking
The dust is coming into the house ,Air
"This pothole has stagnant water leading to breeding of mosquitoes.
",Potholes
Don't put plastic on the sea and rivers it will be affecting many water living creature and the Ruby more pollution don't put plastic on the water many living creature are affected by plastic,Plastic
The area is very dirty,Waste/Garbage
Near dustbins garbage is throw near it even though dustbins are free to fill.,Waste/Garbage
"Many animals are eating plastic and garbage like dogs,cats and cows . And dying",Waste/Garbage
This is the single used plastic ,Plastic
Street indigation board earsed,Streetlights
"In our street there is no street light
",Streetlights
Childrens cannot play in the road,Streetlights
"Old people cannot on the road because there is not light
",Streetlights
Childrens cannot play or walk on the road,Streetlights
In our street tjere is no street light. Old people cannot walk on the road,Streetlights
Childerns cannot walk on the road. Elder people cannot walk on the road,Streetlights
"Childrens cannot walk on the road. Elder people cannot walk on the road . Childrens cannot play in the road
",Streetlights
Please help me,Waste/Garbage
Garbage lying here is not taken care of.....,Waste/Garbage
"It disturbs the people life, in many ways.",Water
two wheeler line up the compound wall of Loyola college in urapakkam orphan hindering vehicle flow and arterial road no parking sign clearly makes no difference,Traffic/Parking
"Childrens cannot play in the road
",Streetlights
"floweraura Linkin Park has become hell of residence with rain water mixed with sweet stagnating round the clock the site of mosquitoes here scares us a lot
",Water
It disturbs the students and public when passing by.,Waste/Garbage
"Waste from trees katak ahead of monsoon is yet to be cleared on rajaji Street, Anand nagar in Hitler parkum will call you not that is the place clear",Waste/Garbage
"Plastic and other waste liontree jaihindpuram main road, madambakkam trainwith the city seeing rain everyday is this is a issue",Waste/Garbage
Budha sahib Street in Georgetown can't get any dirty year in The rain body of fishes places been clear waste regularly,Waste/Garbage
It is main of disturbance for the people in that residents. Causing many types of problem s.,Water
Plastic bag is throwing in the out side dustbins,Waste/Garbage
In front of my house there is waterloggingof roads because the road is not straight it has big holes .This leads to many mosquitoes and other insects .,Water
There is a big scarcity of water in Chennai Tamilnadu and India we have to save water there is a lot of water wasting we all help to keep rainwater harvesting in our home please do that,Water
I think this picture from a Google only but this is a problem in Tamilnadu many land like this we should not put waste in the earth,Waste/Garbage
"There is a repair of street lights in our area so that people don't know the way and get stuck....
",Streetlights
Government vehicles for picking dustbin in each houses are not coming because of this they're having a problem ,Waste/Garbage
People throw garbage though they are not supposed to. ,Waste/Garbage
"Please clean the garbage ,now the dengue is spreading fastly ,and bad smell",Waste/Garbage
It spreads disease causing germs to the people living around it. It must be avoided.Stray dogs eat the food leftover in the plastics bags.,Waste/Garbage
"Everyday the ppeople are throwing waste into the land ,it is actually a land in which they are going to plant trees small plants.it is a greenery place.now people had made it dirty place.please clear.",Waste/Garbage
We know that delhi is known as the dead air quality place.everyday the pollution is increasing.we have to keep a full stop today .are the people would die due to lung cancer.it is our nation .,Air
"There's a garage problem In our area ???? please fix it
",Waste/Garbage
"Worst 
",Waste/Garbage
Worst,Waste/Garbage
The drainage had been overflowed due to rain with a lot of dust .the water with a foul smell irritating.it is not flooded it has been overflowed due to heavy rain .so please do something.,Sewage
Worsted ,Waste/Garbage
Worst ,Potholes
Dumping on the ground ,Waste/Garbage
Waste near plants ,Waste/Garbage
"You saw the picture how the people was going. Very difficult  they are walking .the water almost came near the chest level of people.some are swimming in the water which is polluted. Clean it.
",Water
Untreated sewage,Sewage
There is no place because of the vechicles parking in footpath,Traffic/Parking
Light note working,Streetlights
The garbage lorries take the garbage which is in the bin alone and not the ones kept in bags.This causes a mess in the whole street.There are 3 garbage bins in this street.All face the same problem,Waste/Garbage
"Garbage in roadside to hiway it stinks a lot please clear this....
",Waste/Garbage
Please don't do this any more ,Traffic/Parking
We must do which I put in images,Waste/Garbage
No,Waste/Garbage
New,Waste/Garbage
"Hi
",Potholes
Hanging of cable  wire,Streetlights
Flooding  of road ,Water
"Garbage dumping in vacant plot and very tough to 
drive",Waste/Garbage
Peanuts and covers along the road side,Waste/Garbage
Waste dump near the dustbin.,Waste/Garbage
"Medical waste is the only most non-biodegradable waste which cannot be disposed. It must be avoided. If we burn that ,the harmful gases may even  kill the people living around the garbage.",Waste/Garbage
"Water stagnant and dumping of garbage ,
Causing many mosquitoes to breed,
And cause viral diseases .
",Waste/Garbage
Water tap leaking,Water
"Plastic carry box and cups

",Plastic
There is an overflowing dustbin which I found outside my apartment. This needs to be cleared,Waste/Garbage
"Cooum river in Chennai is badly polluted by garbage waste. Polluted rivers or lakes increase the population of mosquitoes and mainly diseases.
-Thank you",Waste/Garbage
"Polluting air near areas of trees is very common these days . People burn old objects and garbage. We can ask everyone to not pollute air  as it is very precious

",Air
Garbage dumped near school is a disturbance to a lot of students. It can cause bad smell and disease. ,Waste/Garbage
People are throwing waste near the dustbin.,Waste/Garbage
"The water gets stagnant after rain and the potholes are filled with small stones and if someone goes on the road, they get injured by falling down",Potholes
We have to stop this ,Waste/Garbage
Separation of garbage is not followed always.  We have to try to separate the garbage otherwise everywhere landfills will be present.  ,Waste/Garbage
"Garbage dumping in kamaraj nagar 4th street where people cannot walk or drive 
",Waste/Garbage
"How can we remove this garbage? 
",Waste/Garbage
Water is leaking in the tank which run in the roads of mogapair,Water
"People over hear dump a lot of waste everyday althow they are not suppose to 
",Waste/Garbage
"It smells bad
Causing diseases.",Waste/Garbage
Water is stagnating please try to solve,Water
"We did not put any plastic in a water in the picture we know that reason also it be spoiled 
",Waste/Garbage
"We did not put the plastics in a water why means the water became spoil 
",Waste/Garbage
We did not put the plastics in a water the water became spoil .,Waste/Garbage
Potholes,Potholes
"The garbage dumped is very bad, disgusting and smelly please clean it.. ",Waste/Garbage
"More construction material and garbage are in a empty land  near my house which is like a breed place for rat,snakes,mosquitosetc",Waste/Garbage
Usage of More vehicle produce a lot of smoke,Air
The plastic is a very dangerous thing which is poison for human and animals because the city of plastic so it cause death mainly for animals because animals,Plastic
"People throw non degradable garbage like used chappals, shoe, plastic bottles etc., which spoils the surroundings and cause pollution. Measures have to be taken against them.",Waste/Garbage
Broken Street lamp,Streetlights
This so dangerous causing many accidents. Please fill this as soon as possible,Potholes
"There is a pile of plastic bags i request to take action s immediately 
",Waste/Garbage
Leakage  of  water ,Water
Overflow of garbage,Waste/Garbage
Dangling of cable wires ,Streetlights
Need clearence,Waste/Garbage
Garbage dumped outside the dustbin for more than 1 week near GRACE super market ,Waste/Garbage
"Pathway,where people can walk, is not laid properly",Potholes
Drainage not covered ,Sewage
"There are many garbages were
 in the roadside
",Waste/Garbage
So basically there are dangling cables on the road. As it is a rainy season and water everywhere electricity could be passed and people would get electric shock.This is very dangerous,Streetlights
People are going and dumping waste into the environment land. Now it has been considered the waste land.it is actually a plant growing place.please do.the place would considered as a dump place.,Waste/Garbage
Mumbai is also known the polluted because due to the air pollution. Every day the pollution are increasing. It showing the air quality of the mumbai is danger than delhi.hazaradous air quality .,Air
Manholes are very important to change the water direction.but other side is danger also if a man fell into the manhole is very difficult to come out. So please close it.foul smell are coming.,Potholes
It is disgusting. And disturbs the public.,Waste/Garbage
I,Plastic
This issue has been also reported To TNEB but no action is taken. The serious problem is when a big lorry or a truck comes the people should take the wire in hand and give way for it,Streetlights
Nearby houses are dumping garbage in this land and many dogs which go there are sometimes dieing too,Waste/Garbage
Save water,Water
Whenever it rains water gets logged .This is due to the uneven surfacing and it is really difficult for movement in this area when it rains very heavily,Water
"Garbage dump in our area
",Waste/Garbage
Garbage dump,Waste/Garbage
Garbage dump,Waste/Garbage
A road full of stagnant water,Water
"Plastic cups and plates 
",Plastic
"It is been the forming traffic
",Water
